"";"p_sr";"p_mr";"p_pr"
"1";46436244085,0074;98042633246,6423;136800418159,214
"2";103784685305,289;275624979933,395;141028028181,128
"3";129042028034,268;281828223535,781;144205207894,383
"4";33680994775,8732;125878688708,987;136431871989,735
"5";21554217314,5135;-43838422475,0127;136276759010,347
"6";109498751849,048;138411791712,914;141677081439,967
"7";40099751207,2478;-201094052824,622;136591083046,622
"8";201394262154,71;425607331918,314;157655266839,182
"9";266930983625,707;-93721957668,1356;175263688909,454
"10";127583237809,922;240184482345,209;144000083755,16
"11";29392971923,5172;182739454484,749;136355217075,861
"12";30633222637,9241;89828967673,1638;136374939317,767
"13";667478659224,027;830651183482,987;385473278814,481
"14";53825053580,7159;185430625721,019;137109778807,432
"15";312478814478,73;115790748818,9;190451489631,986
"16";112435214839,961;173453679493,584;142026532264,852
"17";398626678511,881;391935971436,644;225580788607,647
"18";105492087595,271;278230093040,248;141217682737,617
"19";601961459724,592;721768882017,421;339857428079,064
"20";46344670052,6473;109115861329,488;136797024470,157
"21";527134440286,116;266746875015,014;292875388651,812
"22";18920194713,802;-105188611322,849;136268330269,555
"23";518755251623,672;604322261693,858;287963725857,547
"24";371131081191,28;405544594107,402;213474294251,22
"25";22924834107,9975;-61062155741,446;136284716916,998
"26";208234150625,72;20773165147,564;159254978324,555
"27";243622534334,68;-44711225654,1259;168420895509,588
"28";294951223032,677;104541343057,209;184324951775,557
"29";80304898015,7132;114582776358,847;138792177822,358
"30";85065953255,9214;188382339581,569;139189280273,614
"31";23413309683,2792;117941719733,574;136288143642,901
"32";70621612587,9477;168567009645,368;138073273978,708
"33";117429584283,227;372165388203,075;142645627093,132
"34";96085365046,0238;-116609548883,415;140218282524,762
"35";692335942016,669;695125421601,973;403839271829,198
"36";30308944766,8784;-18890343183,4292;136369590165,182
"37";17893619971,0097;4443493273,17041;136267492606,248
"38";585112244679,921;190269968989,698;328794748837,542
